"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","3209917","Jun Woo Jeong and Bo Youn Kim and Ju Wook Jang","","","","Security and Device Control Method for Fog Computer Using Blockchain","234--238","","5","Blockchain, Data Security, Fog Computing, Hash function, Internet of Things","10.1145/3209914.3209917","","","","","","","2018","","Proceedings of the 2018 International Conference on Information Science and System","ICISS '18","","978-1-4503-6421-8","Jeju, Republic of Korea","ACM","New York, NY, USA"
"article","3090392","H. Kamdem Fezeu and T.  Djotio and R. Oulad Haj Thami","","","","Safe and Irrefutable Decentralized Communication: Bringing Non-Repudiation to Mesh Networks","37:1--37:6","37","6","Blockchain, Information Security, Internet of Things, Mesh Networks","10.1145/3090354.3090392","","","","","","","2017","","Proceedings of the 2Nd International Conference on Big Data, Cloud and Applications","BDCA'17","","978-1-4503-4852-2","Tetouan, Morocco","ACM","New York, NY, USA"
"article","3131564","Paolo  Missier and Shaimaa  Bajoudah and Angelo  Capossele and Andrea  Gaglione and Michele  Nati","","","","Mind My Value: A Decentralized Infrastructure for Fair and Trusted IoT Data Trading","15:1--15:8","15","8","","10.1145/3131542.3131564","","","","","","","2017","","Proceedings of the Seventh International Conference on the Internet of Things","IoT '17","","978-1-4503-5318-2","Linz, Austria","ACM","New York, NY, USA"
"article","3158384","N&#233;stor  &#193;lvarez-D&#237;az and Jordi  Herrera-Joancomart&#237; and Pino  Caballero-Gil","","","","Smart Contracts Based on Blockchain for Logistics Management","73:1--73:8","73","8","blockchain, ethereum, logistics, smart-contracts","10.1145/3109761.3158384","","","","","","","2017","","Proceedings of the 1st International Conference on Internet of Things and Machine Learning","IML '17","","978-1-4503-5243-7","Liverpool, United Kingdom","ACM","New York, NY, USA"
"article","3241853","Diego M. Mendez Mena and Baijian  Yang","","","","Blockchain-Based Whitelisting for Consumer IoT Devices and Home Networks","7--12","","6","blockchain, ethereum, home network security, whitelisting","10.1145/3241815.3241853","","","","","","","2018","","Proceedings of the 19th Annual SIG Conference on Information Technology Education","SIGITE '18","","978-1-4503-5954-2","Fort Lauderdale, Florida, USA","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, Switzerland"
"article","3144733","Fabio  Angeletti and Ioannis  Chatzigiannakis and Andrea  Vitaletti","","","","Privacy Preserving Data Management in Recruiting Participants for Digital Clinical Trials","7--12","","6","Blockchain, Clinical Trial, IoT, Privacy, Wearables, mHealth","10.1145/3144730.3144733","","","","","","","2017","","Proceedings of the First International Workshop on Human-centered Sensing, Networking, and Systems","HumanSys'17","","978-1-4503-5480-6","Delft, Netherlands","ACM","New York, NY, USA"
"article","3120897","Yuma  Sakakibara and Kohei  Nakamura and Hiroki  Matsutani","","","","An FPGA NIC Based Hardware Caching for Blockchain","1:1--1:6","1","6","10Gbit Ethernet, Blockchain, FPGAs","10.1145/3120895.3120897","","","","","","","2017","","Proceedings of the 8th International Symposium on Highly Efficient Accelerators and Reconfigurable Technologies","HEART2017","","978-1-4503-5316-8","Bochum, Germany","ACM","New York, NY, USA"
"article","3240137","Samuel  Szoniecky","","","","Blockchain Et Intelligence Collective Pour Le Design Des Connaissances De L'Internet Des Objets: Mod\'{E}Lisation Du Pouvoir D'Agir Des Objets Connect\'{E}s","16:1--16:6","16","6","Collective intelligence, Internet Of Thing, blockchain, digital social innovation, power to act","10.1145/3240117.3240137","","","","","","","2018","","Proceedings of the 1st International Conference on Digital Tools & Uses Congress","DTUC '18","","978-1-4503-6451-5","Paris, France","ACM","New York, NY, USA"
"article","3226062","Ioannis  Psaras","","","","Decentralised Edge-Computing and IoT Through Distributed Trust","505--507","","3","Blockchain, Distributed Trust, Edge-Computing, Programmable Privacy","10.1145/3210240.3226062","","","","","","","2018","","Proceedings of the 16th Annual International Conference on Mobile Systems, Applications, and Services","MobiSys '18","","978-1-4503-5720-3","Munich, Germany","ACM","New York, NY, USA"
"article","3152829","Wilson S. Melo,Jr and Alysson  Bessani and Luiz F. R. C. Carmo","","","","How Blockchains Can Help Legal Metrology","5:1--5:2","5","2","blockchain, internet of thing, legal metrology, measuring instruments, smart grids, software inspection","10.1145/3152824.3152829","","","","","","","2017","","Proceedings of the 1st Workshop on Scalable and Resilient Infrastructures for Distributed Ledgers","SERIAL '17","","978-1-4503-5173-7","Las Vegas, Nevada","ACM","New York, NY, USA"
"article","3209916","Bo Youn Kim and Seong Seok Choi and Ju Wook Jang","","","","Data Managing and Service Exchanging on IoT Service Platform Based on Blockchain with Smart Contract and Spatial Data Processing","59--63","","5","Blockchain, Blockchain messaging, IoT, RkNN, Smart Contract","10.1145/3209914.3209916","","","","","","","2018","","Proceedings of the 2018 International Conference on Information Science and System","ICISS '18","","978-1-4503-6421-8","Jeju, Republic of Korea","ACM","New York, NY, USA"
"article","3194150","Peter E. Sedgewick and Rog&#233;rio  de Lemos","","","","Self-adaptation Made Easy with Blockchains","192--193","","2","IoT, access control, blockchains, multichain, self-adapive systems","10.1145/3194133.3194150","","","","","","","2018","","Proceedings of the 13th International Conference on Software Engineering for Adaptive and Self-Managing Systems","SEAMS '18","","978-1-4503-5715-9","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","3087913","","Sandeep K. Shukla","","","Editorial: Cyber Security, IoT, Block Chains&Mdash;Risks and Opportunities","62:1--62:2","62","2","","10.1145/3087913","ACM Trans. Embed. Comput. Syst.","July 2017","16","3","","July","2017","1539-9087","","","","","","ACM","New York, NY, USA"
"article","3098983","Francesco  Buccafurri and Gianluca  Lax and Serena  Nicolazzo and Antonino  Nocera","","","","Overcoming Limits of Blockchain for IoT Applications","26:1--26:6","26","6","Blockchain, IoT applications, Public Ledger, Twitter","10.1145/3098954.3098983","","","","","","","2017","","Proceedings of the 12th International Conference on Availability, Reliability and Security","ARES '17","","978-1-4503-5257-4","Reggio Calabria, Italy","ACM","New York, NY, USA"
"article","3209436","Jong Sou Park and Young Sik Kim and Chang-hak  Choi and JangSup  Shim","","","","How to Define Value on Data Under Blockchain Driven Open Data System for E-Government","670--672","","3","AI, Blockchain, Deep Learning, Distributed Ledger Technology, E-government, IoT, Value of Data","10.1145/3209415.3209436","","","","","","","2018","","Proceedings of the 11th International Conference on Theory and Practice of Electronic Governance","ICEGOV '18","","978-1-4503-5421-9","Galway, Ireland","ACM","New York, NY, USA"
"article","3055527","Lei  Xu and Nolan  Shah and Lin  Chen and Nour  Diallo and Zhimin  Gao and Yang  Lu and Weidong  Shi","","","","Enabling the Sharing Economy: Privacy Respecting Contract Based on Public Blockchain","15--21","","7","IoT, privacy, public blockchain, sharing economy","10.1145/3055518.3055527","","","","","","","2017","","Proceedings of the ACM Workshop on Blockchain, Cryptocurrencies and Contracts","BCC '17","","978-1-4503-4974-1","Abu Dhabi, United Arab Emirates","ACM","New York, NY, USA"
"article","3240298","Partha  Chakraborty and Rifat  Shahriyar and Anindya  Iqbal and Amiangshu  Bosu","","","","Understanding the Software Development Practices of Blockchain Projects: A Survey","28:1--28:10","28","10","bitcoin, blockchain, cryptocurrency, ethereum, survey","10.1145/3239235.3240298","","","","","","","2018","","Proceedings of the 12th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement","ESEM '18","","978-1-4503-5823-1","Oulu, Finland","ACM","New York, NY, USA"
"article","3152825","Lei  Xu and Lin  Chen and Zhimin  Gao and Shouhuai  Xu and Weidong  Shi","","","","EPBC: &Lt;U&Gt;E&Lt;/U&Gt;Fficient &Lt;U&Gt;P&Lt;/U&Gt;Ublic &Lt;U&Gt;B&Lt;/U&Gt;Lockchain &Lt;U&Gt;C&Lt;/U&Gt;Lient for Lightweight Users","1:1--1:6","1","6","accumulator, blockchain, light weight client","10.1145/3152824.3152825","","","","","","","2017","","Proceedings of the 1st Workshop on Scalable and Resilient Infrastructures for Distributed Ledgers","SERIAL '17","","978-1-4503-5173-7","Las Vegas, Nevada","ACM","New York, NY, USA"
"article","3125628","Kaz&#305;m R&#305;fat &#214;zy&#305;lmaz and Arda  Yurdakul","","","","Integrating Low-power IoT Devices to a Blockchain-based Infrastructure: Work-in-progress","13:1--13:2","13","2","IoT, LPWAN, LoRa, blockchain, decentralized, ethereum, trustless","10.1145/3125503.3125628","","","","","","","2017","","Proceedings of the Thirteenth ACM International Conference on Embedded Software 2017 Companion","EMSOFT '17","","978-1-4503-5186-7","Seoul, Republic of Korea","ACM","New York, NY, USA"
"article","3016027","Mayra  Samaniego and Ralph  Deters","","","","Using Blockchain to Push Software-Defined IoT Components Onto Edge Hosts","58:1--58:9","58","9","Blockchain, Edge Computing, IoT, Software-Defined IoT, Virtual Resources","10.1145/3010089.3016027","","","","","","","2016","","Proceedings of the International Conference on Big Data and Advanced Wireless Technologies","BDAW '16","","978-1-4503-4779-2","Blagoevgrad, Bulgaria","ACM","New York, NY, USA"
